district,sl_no,name,capacity_mva,latitude,longitude,latitude_raw,longitude_raw,coord_flags
SOUTH 24 PARGANAS,1,Baruipur,12.6,22.3748333,88.4245,N22°22.490',E88°25.470',
SOUTH 24 PARGANAS,2,Beliachandi,22.6,22.26796,88.45222,N22.26796°,E88.45222°,
SOUTH 24 PARGANAS,3,Jamtala / Kultali,16.3,22.108516,88.572247,N22.108516,E88.572247,
SOUTH 24 PARGANAS,4,Joynagar,37.6,22.2477833,88.67345,N22°14.867',E88°40.407',
SOUTH 24 PARGANAS,5,Madarhat,22.05,22.3626667,88.4492833,N22°21.760',E88°26.957',
SOUTH 24 PARGANAS,6,Mahinagar,18.9,22.39493,88.41953,N22.39493°,E88.41953°,
SOUTH 24 PARGANAS,7,Mograhat,18.9,22.2471833,88.3581167,N22°14.831',E88°21.487',
SOUTH 24 PARGANAS,8,Raydighi,18.9,21.9985694,88.3902028,"21°59'54.85""N","88°23'24.73""E",
SOUTH 24 PARGANAS,9,Uttar Laxminarayanpur,12.6,22.066915,88.366884,N22.066915°,E88.366884°,
SOUTH 24 PARGANAS,10,Sonakhali,18.9,22.2060667,88.7142833,N22°12.364',E88°42.857',
SOUTH 24 PARGANAS,11,Gosaba,6.3,22.169246,88.801474,N22.169246,E88.801474,
SOUTH 24 PARGANAS,12,Uttarbhag 33/11,29.9,22.3442833,88.5132833,N22°20.657',E88°30.797',
SOUTH 24 PARGANAS,13,Dighirpar,18.9,22.3008167,88.66805,N22°18.049',E88°40.083',
SOUTH 24 PARGANAS,14,Miyergheri / Jibantala,18.9,22.4178333,88.66855,N22°25.070',E88°40.113',
SOUTH 24 PARGANAS,15,Gangajoara,18.9,22.4711333,88.43925,N22°28.268',E88°26.355',
SOUTH 24 PARGANAS,16,Garia,40.0,22.4592,88.3827333,N22°27.552',E88°22.964',
SOUTH 24 PARGANAS,17,Kalikapur,18.9,22.4233333,88.5018,N22°25.4',E88°30.108',
SOUTH 24 PARGANAS,18,Nepalgunj,18.9,22.41175,88.3713833,N22°24.705',E88°22.283',
SOUTH 24 PARGANAS,19,Renia,22.6,22.4558333,88.3520667,N22°27.350',E88°21.124',
SOUTH 24 PARGANAS,20,Narendrapur,20.0,22.4340833,88.4009833,N22°26.045',E88°24.059',
SOUTH 24 PARGANAS,21,Sonarpur,26.3,22.4441167,88.4217,N22°26.647',E88°25.302',
SOUTH 24 PARGANAS,22,Tollygunje,20.0,22.4801833,88.3474333,N22°28.811',E88°20.846',
SOUTH 24 PARGANAS,23,Amtala,27.9,22.3593,88.29285,N22°21.558',E88°17.571',
SOUTH 24 PARGANAS,24,Birlapur,18.9,22.4301,88.1553167,N22°25.806',E88°09.319',
SOUTH 24 PARGANAS,25,Deulberia,12.6,22.3781833,88.2124333,N22°22.691',E88°12.746',
SOUTH 24 PARGANAS,26,Serakol,16.3,22.2990333,88.27215,N22°17.942',E88°16.329',
SOUTH 24 PARGANAS,27,Genex Valley,9.45,22.4491333,88.3015,N22°26.948',E88°18.090',
SOUTH 24 PARGANAS,28,Khariberia,11.3,22.4052752,88.2993369,N22.4052752,E88.2993369,
SOUTH 24 PARGANAS,29,Poita,6.3,22.516756,88.500233,N22.516756°,E88.500233°,
SOUTH 24 PARGANAS,30,Deula,15.75,22.2137333,88.2803167,N22°12.824',E88°16.819',
SOUTH 24 PARGANAS,31,Chandpala,12.6,22.297533,88.170252,N22.297533,E88.170252,
SOUTH 24 PARGANAS,32,Diamond Harbour,12.6,22.1883167,88.1884,N22°11.299',E88°11.304',
SOUTH 24 PARGANAS,33,FSE Z - II,12.6,22.27955,88.1039333,N22°16.773',E88°06.236',
SOUTH 24 PARGANAS,34,FIGC - III,12.6,22.2549,88.0934,N22°15.294',E88°05.604',
SOUTH 24 PARGANAS,35,FIGC - IV,9.45,22.2439333,88.0927667,N22°14.636',E88°05.566',
SOUTH 24 PARGANAS,36,Purba Durgapur,26.3,22.2745833,88.2201,N22°16.475',E88°13.206',
SOUTH 24 PARGANAS,37,Kulpi,15.75,22.1456,88.4232,N22°08.736',E88°25.392',
SOUTH 24 PARGANAS,38,KULPI (SIMULBERIA),12.6,22.1456,88.4232,N22°08.736',E88°25.392',
SOUTH 24 PARGANAS,39,Rudranagar DPS,12.6,21.7264861,88.1046306,"21°43'35.35""N","88° 6'16.67""E",
SOUTH 24 PARGANAS,40,Kakdwip,25.2,21.8997833,88.1915333,N21°53.987',E88°11.492',
SOUTH 24 PARGANAS,41,Namkhana,14.45,21.7694,88.2355,N21°46.164',E88°14.130',
SOUTH 24 PARGANAS,42,Achintyanagar,6.3,21.8167193,88.4379653,N21.8167193,E88.43796529,
SOUTH 24 PARGANAS,43,Dakshin Shibganj,6.3,21.7832642,88.3676393,N21.7832642,E88.36763930,
SOUTH 24 PARGANAS,44,KLC-II,17.6,22.501044,88.514229,22.501044,88.514229,
SOUTH 24 PARGANAS,45,KLC-III,20.0,22.492026,88.518792,22.492026,88.518792,
NORTH 24 PARGANAS,1,M - 1,38.9,22.59255,88.4133694,"22°35'33.18""N","88°24'48.13""E",
NORTH 24 PARGANAS,2,M - 2,29.45,22.5911139,88.4204722,"22°35'28.01""N","88°25'13.70""E",
NORTH 24 PARGANAS,3,M - 3,38.9,22.5703528,88.41295,"22°34'13.27""N","88°24'46.62""E",
NORTH 24 PARGANAS,4,M - 5,38.9,22.5749222,88.4343389,"22°34'29.72""N","88°26'3.62""E",
NORTH 24 PARGANAS,5,Mahisbathan,30.0,22.5755806,88.43465,"22°34'32.09""N","88°26'4.74""E",
NORTH 24 PARGANAS,6,NTAA - 1A,14.3,22.5840444,88.4482194,"22°35'2.56""N","88°26'53.59""E",
NORTH 24 PARGANAS,7,NTAA - 1D,20.0,22.5788972,22.5788972,"22°34'44.03""N","22°34'44.03""N",lon_hemi_label_swapped;lon_duplicate_of_latitude;outside_wb_bbox
NORTH 24 PARGANAS,8,NTAA - 1C,20.0,22.5781861,88.460925,"22°34'41.47""N","88°27'39.33""E",
NORTH 24 PARGANAS,9,NTAA - 1B,23.15,22.5823417,88.4616833,"22°34'56.43""N","88°27'42.06""E",
NORTH 24 PARGANAS,10,NTAA - 1DBPS,6.3,22.5784778,88.4842389,"22°34'42.52""N","88°29'3.26""E",
